Nome do Repositorio;Data de Criacao;Data de Atualizacao;Linguagem Primaria;Total de Releases;Pull Requests Aceitos;Total de Issues;Issues Fechadas
animate-css/animate.css;2011-10-12T10:07:38Z;2026-03-05T18:28:44Z;CSS;22;315;883;843
punkpeye/awesome-mcp-servers;2024-11-30T04:49:10Z;2026-03-05T21:01:30Z;N/A;0;1409;210;151
bregman-arie/devops-exercises;2019-10-03T17:31:21Z;2026-03-05T22:18:35Z;Python;0;309;104;69
DopplerHQ/awesome-interview-questions;2015-11-28T09:48:17Z;2026-03-05T22:26:13Z;N/A;0;175;61;34
tonsky/FiraCode;2014-11-11T19:32:38Z;2026-03-05T09:10:29Z;Clojure;29;142;1380;959
syncthing/syncthing;2013-11-26T09:48:21Z;2026-03-05T20:29:32Z;Go;462;2837;5858;5487
astral-sh/uv;2023-10-02T20:24:11Z;2026-03-05T22:08:15Z;Rust;259;8504;8616;6255
modelcontextprotocol/servers;2024-11-19T01:10:17Z;2026-03-05T22:09:55Z;TypeScript;24;1178;840;560
spring-projects/spring-boot;2012-10-19T15:02:57Z;2026-03-05T22:06:36Z;Java;339;42;41399;40903
ByteByteGoHq/system-design-101;2023-09-18T20:52:03Z;2026-03-05T18:41:38Z;N/A;0;23;58;18
hacksider/Deep-Live-Cam;2023-09-24T13:19:31Z;2026-03-05T21:54:37Z;Python;10;98;1114;1032
browser-use/browser-use;2024-10-31T16:00:56Z;2026-03-05T22:26:50Z;Python;118;1668;1400;1271
fighting41love/funNLP;2018-08-21T11:20:39Z;2026-03-05T18:30:14Z;Python;0;14;85;48
doocs/advanced-java;2018-10-06T11:38:30Z;2026-03-05T14:35:04Z;Java;1;89;148;147
anuraghazra/github-readme-stats;2020-07-09T10:34:22Z;2026-03-05T21:58:58Z;JavaScript;0;1568;1384;1228
vitejs/vite;2020-04-21T05:03:57Z;2026-03-05T21:54:00Z;TypeScript;658;6052;8352;7894
junegunn/fzf;2013-10-23T16:04:23Z;2026-03-05T21:36:04Z;Go;76;642;3102;2848
hoppscotch/hoppscotch;2019-08-21T13:15:24Z;2026-03-05T22:19:47Z;TypeScript;99;2038;2337;1770
netdata/netdata;2013-06-17T18:39:10Z;2026-03-05T20:19:02Z;C;132;11750;8203;8051
tensorflow/models;2016-02-05T01:15:20Z;2026-03-05T21:45:43Z;Python;51;2342;7324;6240
nomic-ai/gpt4all;2023-03-27T18:49:32Z;2026-03-05T22:04:34Z;C++;38;938;2212;1493
MisterBooo/LeetCodeAnimation;2018-12-06T08:01:22Z;2026-03-05T15:37:10Z;Java;0;63;61;43
coder/code-server;2019-02-27T16:50:41Z;2026-03-05T21:49:54Z;TypeScript;223;1638;3794;3627
zed-industries/zed;2021-02-20T03:01:06Z;2026-03-05T22:29:38Z;Rust;1000;22115;18645;16002
FortAwesome/Font-Awesome;2012-02-17T14:19:43Z;2026-03-05T22:11:59Z;JavaScript;63;220;19901;19610
elastic/elasticsearch;2010-02-08T13:20:56Z;2026-03-05T22:27:01Z;Java;235;87394;43121;38661
Developer-Y/cs-video-courses;2016-10-21T17:02:11Z;2026-03-05T22:27:45Z;N/A;0;257;0;0
mlabonne/llm-course;2023-06-17T22:16:25Z;2026-03-05T22:07:56Z;N/A;0;2;95;32
localsend/localsend;2022-12-16T00:46:07Z;2026-03-05T21:57:47Z;Dart;24;701;1595;739
d2l-ai/d2l-zh;2017-08-23T04:40:24Z;2026-03-05T20:01:34Z;Python;16;1019;0;0
sdmg15/Best-websites-a-programmer-should-visit;2017-03-05T20:25:17Z;2026-03-05T20:58:45Z;N/A;0;431;185;105
swisskyrepo/PayloadsAllTheThings;2016-10-18T07:29:07Z;2026-03-05T22:31:15Z;Python;5;564;0;0
typicode/json-server;2013-11-27T13:21:13Z;2026-03-05T19:11:55Z;JavaScript;46;161;1178;566
Stirling-Tools/Stirling-PDF;2023-01-27T18:22:42Z;2026-03-05T22:01:05Z;TypeScript;167;3171;1658;1313
nestjs/nest;2017-02-04T20:12:52Z;2026-03-05T20:46:07Z;TypeScript;143;8079;5785;5767
ventoy/Ventoy;2020-03-10T15:19:19Z;2026-03-05T20:30:58Z;C;108;294;2690;1878
github/spec-kit;2025-08-21T22:54:31Z;2026-03-05T22:09:23Z;Python;112;179;870;334
unionlabs/union;2023-05-16T22:33:39Z;2026-03-05T10:28:27Z;Rust;107;3102;1837;1709
infiniflow/ragflow;2023-12-12T06:13:13Z;2026-03-05T22:11:03Z;Python;40;5450;6615;3629
anthropics/claude-code;2025-02-22T17:41:21Z;2026-03-05T22:28:23Z;Shell;54;145;29976;24578
vuejs/awesome-vue;2015-10-20T00:16:14Z;2026-03-05T18:25:10Z;N/A;0;3611;230;191
jesseduffield/lazygit;2018-05-19T00:53:06Z;2026-03-05T22:05:20Z;Go;176;1809;2520;1740
sherlock-project/sherlock;2018-12-24T14:30:48Z;2026-03-05T22:15:13Z;Python;2;734;1149;1069
redis/redis;2009-03-21T22:32:25Z;2026-03-05T22:12:38Z;C;117;4426;6915;4705
awesomedata/awesome-public-datasets;2014-11-20T06:20:50Z;2026-03-05T22:07:09Z;N/A;1;188;124;48
lobehub/lobehub;2023-05-21T07:19:12Z;2026-03-05T22:29:28Z;TypeScript;1000;4337;5430;4907
twitter/the-algorithm;2023-03-27T14:57:57Z;2026-03-05T22:23:23Z;Scala;0;2;1066;749
tesseract-ocr/tesseract;2014-08-12T18:04:59Z;2026-03-05T22:01:38Z;C++;35;1432;2748;2318
CompVis/stable-diffusion;2022-08-10T14:36:44Z;2026-03-05T18:24:43Z;Jupyter Notebook;0;5;735;199
grafana/grafana;2013-12-11T15:59:56Z;2026-03-05T21:45:46Z;TypeScript;592;62639;43178;39915
thedaviddias/Front-End-Checklist;2017-10-16T10:12:36Z;2026-03-05T22:31:20Z;N/A;1;179;152;151
enaqx/awesome-react;2014-08-06T05:31:44Z;2026-03-05T22:26:09Z;N/A;0;794;119;117
vllm-project/vllm;2023-02-09T11:23:20Z;2026-03-05T22:32:30Z;Python;84;14462;13848;12150
josephmisiti/awesome-machine-learning;2014-07-15T19:11:19Z;2026-03-05T22:23:16Z;Python;0;902;98;97
python/cpython;2017-02-10T19:23:51Z;2026-03-05T21:46:23Z;Python;0;57242;75452;68289
openai/openai-cookbook;2022-03-11T02:08:53Z;2026-03-05T19:20:18Z;Jupyter Notebook;0;1008;727;655
abi/screenshot-to-code;2023-11-14T17:53:32Z;2026-03-05T21:57:14Z;TypeScript;0;71;395;282
ocornut/imgui;2014-07-21T14:29:47Z;2026-03-05T22:22:21Z;C++;118;418;6786;5746
obra/superpowers;2025-10-09T19:45:18Z;2026-03-05T22:31:41Z;Shell;2;39;328;227
PaddlePaddle/PaddleOCR;2020-05-08T10:38:16Z;2026-03-05T21:59:26Z;Python;29;3119;10497;10271
PKUFlyingPig/cs-self-learning;2021-10-20T13:43:42Z;2026-03-05T18:26:31Z;HTML;5;315;231;106
moby/moby;2013-01-18T18:10:57Z;2026-03-05T18:25:42Z;Go;276;22359;23383;20115
strapi/strapi;2015-09-30T15:34:48Z;2026-03-05T22:02:18Z;TypeScript;514;9585;11808;11233
pallets/flask;2010-04-06T11:11:59Z;2026-03-05T21:36:46Z;Python;38;1627;2722;2722
